org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,review
match [light-a-MATCH],match,0.0,0,0,0,83,match light-a-MATCH,830,360.0,30.0,2.767,https://www.youtube.com/watch?v=C37R_Ix8-qs,match,0.0575446188449859,640.0,
FAIL,fail,0.0,0,-1,0,74,FAIL,542,360.0,25.0,2.96,https://www.youtube.com/watch?v=PIsUJl8BN_I,fail,0.0657794177532196,480.0,
laugh,laugh,0.0,4,26,0,31,SignSchool Laugh with Legs 2,312,360.0,29.97,1.034,www.youtube.com/watch?v=9FdHlMOnVjg,laugh,0.131885945796966,640.0,
BOOK,book,0.0,0,-1,0,66,BOOK(3),38,360.0,25.0,2.64,https://www.youtube.com/watch?v=J7tP98oDxqE,book,0.0556988716125488,480.0,
sign-language,sign language,0.0,0,-1,0,75,SIGN-LANGUAGE-S-CLAW-F,848,360.0,29.97,2.502,www.youtube.com/watch?v=N2mG9ZKjrGA,sign language,0.0390439927577972,640.0,
school,school,1.101,1,44,33,110,ASL Vocabulary school,10,360.0,29.97,3.67,https://www.youtube.com/watch?v=1AyT77LqJzQ,school,0.0,640.0,1
school,school,4.671,1,44,140,206,ASL Vocabulary school,10,360.0,29.97,6.874,https://www.youtube.com/watch?v=1AyT77LqJzQ,school,0.0,640.0,1
easter,easter,0.0,2,58,0,116,Easter,794,360.0,29.595,3.92,https://www.youtube.com/watch?v=SVWABYmFdhs,easter,0.0,640.0,
Boring ,boring,0.0,13,-1,0,71,ASL Boring ,46,360.0,25.0,2.84,https://www.youtube.com/watch?v=CYx7qm62Zwo,bored,0.0569272339344024,640.0,
PAST,past,0.0,191,13,0,32,PAST,510,720.0,29.97,1.068,https://www.youtube.com/watch?v=cJOyCgIKyeA,past,0.0610218048095703,1280.0,
telephone,phone,0.0,2,81,0,56,Telephone,120,360.0,29.651,1.889,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,0.0,640.0,1
telephone,phone,2.462,2,81,73,123,Telephone,120,360.0,29.651,4.148,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,0.0,640.0,1
telephone,phone,4.991,2,81,148,196,Telephone,120,360.0,29.651,6.61,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,0.0,640.0,1
LIBRARY,library,0.0,0,-1,0,73,LIBRARY(2),168,360.0,25.0,2.92,https://www.youtube.com/watch?v=S2cqitZ0qes,library,0.0219328701496124,480.0,
germany,germany,0.0,4,46,0,36,SignSchool Germany 3,193,360.0,29.97,1.201,www.youtube.com/watch?v=zqfcp6NRKpA,germany,0.104575484991073,640.0,
like,like,0.0,269,53,0,52,SignSchool really like,6,360.0,29.97,1.735,www.youtube.com/watch?v=7y5Ye-2-ZBs,like,0.0404614806175231,640.0,
COCHLEAR IMPLANT-[bent V version],cochlear implant,0.0,0,0,0,112,COCHLEAR IMPLANT-bent V version,916,720.0,29.97,3.737,https://www.youtube.com/watch?v=I_QDeKcyvns,cochlear implant,0.0158461034297943,1280.0,
rainbow ,rainbow,1.804,144,-1,54,165,rainbow - ASL sign for rainbow,669,360.0,29.934,5.512,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,0.00480386614799499,480.0,1
rainbow ,rainbow,5.813,144,-1,174,269,rainbow - ASL sign for rainbow,669,360.0,29.934,8.986,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,0.00480386614799499,480.0,1
rainbow ,rainbow,9.354,144,-1,280,435,rainbow - ASL sign for rainbow,669,360.0,29.934,14.532,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,0.00480386614799499,480.0,1
LETTER,letter,0.0,0,-1,0,73,LETTER(3),579,360.0,25.0,2.92,https://www.youtube.com/watch?v=sKbKzPIaFNA,letter,0.0724076628684997,480.0,
FROM,from,0.0,0,-1,0,68,FROM(1),298,240.0,30.0,2.267,https://www.youtube.com/watch?v=fQ58eciJmCY,from,0.0342453122138977,320.0,
its/his/her,his,0.0,62,-1,0,108,Sign ITSHISHER,771,360.0,30.0,3.6,https://www.youtube.com/watch?v=GYWm0gdybFA,his,0.0,640.0,
HONG KONG-[fingerspelled-version],hong kong,0.0,0,0,0,72,HONG KONG-fingerspelled-version,906,360.0,29.97,2.402,https://www.youtube.com/watch?v=PIfDfi4Qx60,hong kong,0.0641892552375793,640.0,
EVERY MORNING,every morning,0.0,0,-1,0,48,EVERY MORNING,606,360.0,25.0,1.92,https://www.youtube.com/watch?v=fv1nQoXRlsI,every morning,0.0608040392398834,480.0,
french,france,0.0,2,42,0,108,French,95,360.0,29.669,3.64,https://www.youtube.com/watch?v=iJuIO4n0-VU,france,0.0,640.0,
GIVE (alternative),give,0.0,0,-1,0,49,GIVE (alternative),288,360.0,25.0,1.96,https://www.youtube.com/watch?v=7G6B6kaMjb4,give,0.0152008533477783,480.0,
shock-[BRAIN-FREEZE],shock,0.0,0,-1,0,75,shock-BRAIN-FREEZE,589,360.0,29.98,2.502,https://www.youtube.com/watch?v=XCiFsGrb_Nk,shock,0.0799883306026458,640.0,
PUERTO-RICO,puerto rico,0.0,0,0,0,86,PUERTO-RICO,982,360.0,29.97,2.87,https://www.youtube.com/watch?v=NNZD9RAgL4w,puerto rico,0.0649802386760711,640.0,
portugal,portugal,0.0,4,-1,0,44,SignSchool Portugal Portuguese,841,360.0,29.97,1.468,www.youtube.com/watch?v=rYW7VFPi9_w,portugal,0.0997249186038971,640.0,
Breakfast  ,breakfast,0.0,5,-1,0,73,ASL Breakfast  ,329,360.0,25.0,2.92,https://www.youtube.com/watch?v=bUezx9Zp16E,breakfast,0.181189507246017,640.0,
Day,day,26.015,6,-1,647,676,LASL - Ch 6 Vocab,72,358.0,24.87,27.181,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,0.00304707884788513,640.0,1
Day,day,27.181,6,-1,676,731,LASL - Ch 6 Vocab,72,358.0,24.87,29.393,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,0.00304707884788513,640.0,1
Day,day,31.765,6,-1,790,817,LASL - Ch 6 Vocab,72,358.0,24.87,32.851,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,0.00304707884788513,640.0,1
Day,day,59.268,6,-1,1474,1501,LASL - Ch 6 Vocab,72,358.0,24.87,60.354,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,0.0138481259346008,640.0,
Afternoon,afternoon,85.042,6,-1,2115,2149,LASL - Ch 6 Vocab,220,358.0,24.87,86.409,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,0.00511878728866577,640.0,
Afternoon,afternoon,87.897,6,-1,2186,2269,LASL - Ch 6 Vocab,220,358.0,24.87,91.234,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,0.00823000073432922,640.0,
Afternoon,afternoon,92.199,6,-1,2293,2327,LASL - Ch 6 Vocab,220,358.0,24.87,93.566,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,0.000354021787643432,640.0,
Happy (1 handed),happy,179.01,6,-1,4452,4527,LASL - Ch 6 Vocab,5,358.0,24.87,182.026,https://www.youtube.com/watch?v=jQb9NL9_S6U,happy,0.0,640.0,
Sad,sad,192.882,6,-1,4797,4907,LASL - Ch 6 Vocab,27,358.0,24.87,197.305,https://www.youtube.com/watch?v=jQb9NL9_S6U,sad,0.00494715571403503,640.0,1
Sad,sad,199.919,6,-1,4972,5010,LASL - Ch 6 Vocab,27,358.0,24.87,201.447,https://www.youtube.com/watch?v=jQb9NL9_S6U,sad,0.00494715571403503,640.0,1
Nervous (2 ways),nervous,232.85,6,-1,5791,5836,LASL - Ch 6 Vocab,307,358.0,24.87,234.659,https://www.youtube.com/watch?v=jQb9NL9_S6U,nervous,0.0,640.0,1
Nervous (2 ways),nervous,238.761,6,-1,5938,5973,LASL - Ch 6 Vocab,307,358.0,24.87,240.168,https://www.youtube.com/watch?v=jQb9NL9_S6U,nervous,0.0,640.0,1
Upset,upset,242.902,6,-1,6041,6208,LASL - Ch 6 Vocab,876,358.0,24.87,249.617,https://www.youtube.com/watch?v=jQb9NL9_S6U,upset,0.00514325499534606,640.0,
Want (mouth “WA“),want,385.765,6,-1,9594,9751,LASL - Ch 6 Vocab,8,358.0,24.87,392.077,https://www.youtube.com/watch?v=jQb9NL9_S6U,want,0.00886604189872741,640.0,
Know,know,403.738,6,-1,10041,10111,LASL - Ch 6 Vocab,97,358.0,24.87,406.553,https://www.youtube.com/watch?v=jQb9NL9_S6U,know,0.00339573621749877,640.0,
Know,know,407.92,6,-1,10145,10175,LASL - Ch 6 Vocab,97,358.0,24.87,409.126,https://www.youtube.com/watch?v=jQb9NL9_S6U,know,0.0434208512306213,640.0,
Must,must,433.452,6,-1,10780,10870,LASL - Ch 6 Vocab,29,358.0,24.87,437.071,https://www.youtube.com/watch?v=jQb9NL9_S6U,need,0.0,640.0,1
How (2 ways),how,489.182,6,-1,12166,12357,LASL - Ch 6 Vocab,59,358.0,24.87,496.862,https://www.youtube.com/watch?v=jQb9NL9_S6U,how,0.0200423002243042,640.0,
Wow,wow,612.221,6,-1,15226,15409,LASL - Ch 6 Vocab,227,358.0,24.87,619.58,https://www.youtube.com/watch?v=jQb9NL9_S6U,wow,0.0,640.0,
Wow,wow,619.66,6,-1,15411,15459,LASL - Ch 6 Vocab,227,358.0,24.87,621.59,https://www.youtube.com/watch?v=jQb9NL9_S6U,wow,0.0161923766136169,640.0,
Pass,pass,689.101,6,-1,17138,17161,LASL - Ch 6 Vocab,566,358.0,24.87,690.026,https://www.youtube.com/watch?v=jQb9NL9_S6U,pass,0.00708118081092834,640.0,
Pass,pass,691.192,6,-1,17190,17304,LASL - Ch 6 Vocab,566,358.0,24.87,695.776,https://www.youtube.com/watch?v=jQb9NL9_S6U,pass,0.0,640.0,
think,think,0.0,0,0,0,77,think,345,360.0,29.97,2.569,https://www.youtube.com/watch?v=Y5q-PccHNHo,think,0.0988582074642181,540.0,
yellow,yellow,0.334,1,31,10,60,ASL Vocabulary yellow,52,360.0,29.97,2.002,https://www.youtube.com/watch?v=0Beq_NIDj2c,yellow,0.0,640.0,1
