org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,review
beer,beer,0.0,20,40,0,59,SignSchool Beer var,805,360.0,29.97,1.969,www.youtube.com/watch?v=wX78EPtSuzU,beer,0.0467872321605682,640.0,
enjoy,enjoy,0.0,11,39,0,54,enjoy(1),192,360.0,29.97,1.802,www.youtube.com/watch?v=OL02Odh2dRg,enjoy,0.0714509189128875,480.0,
emotional,emotional,0.0,20,40,0,30,SignSchool Emotional,907,360.0,23.976,1.251,www.youtube.com/watch?v=C59jcSo4fEI,emotional,0.0595542192459106,640.0,
key,key,0.0,92,-1,0,37,SignSchool Key,456,360.0,23.976,1.543,www.youtube.com/watch?v=Qs2ua1S6tg0,key,0.114628940820693,640.0,
bad,bad,0.0,11,39,0,36,BAD,81,360.0,29.97,1.201,www.youtube.com/watch?v=-kgTBeOw95A,bad,0.0404534935951232,480.0,
NEED,need,0.0,67,11,0,68,NEED,29,720.0,29.97,2.269,https://www.youtube.com/watch?v=ieLzL1Sl6SU,need,0.0131188631057739,1280.0,
build,build,0.0,20,40,0,50,SignSchool Build 2,394,360.0,29.97,1.668,www.youtube.com/watch?v=xiJYYCuA2UA,build,0.0131729543209075,640.0,
subway,subway,0.0,92,-1,0,33,SignSchool Subway,886,360.0,23.976,1.376,www.youtube.com/watch?v=qSOspusLa3U,subway,0.0978488624095916,640.0,
pull,pull,0.0,92,43,0,32,SignSchool Pull(1),672,360.0,23.976,1.335,www.youtube.com/watch?v=78bHeANdyYc,pull,0.100738883018493,640.0,
happy,happy,0.0,11,39,0,46,HAPPY,5,360.0,29.97,1.535,www.youtube.com/watch?v=deGERv54kIc,happy,0.0498132705688476,480.0,
government,government,0.0,11,39,0,47,GOVERNMENT(1),304,360.0,29.97,1.568,www.youtube.com/watch?v=ZcFkE7qjmcc,government,0.0502732396125793,480.0,
measure,measure,0.0,11,39,0,43,MEASURE,651,360.0,29.97,1.435,www.youtube.com/watch?v=a1NeXe8bhuo,measure,0.0991691946983337,480.0,
win,win,0.0,11,39,0,48,WIN(2),451,360.0,29.97,1.602,www.youtube.com/watch?v=2vYnEG9tSuA,win,0.0489061176776886,480.0,
surfing,surfing,0.0,92,43,0,34,SignSchool Surfing Skateboard,595,360.0,23.976,1.418,www.youtube.com/watch?v=e22Pc68i_VE,surfing,0.147606372833251,640.0,
newspaper,newspaper,0.0,11,39,0,55,newspaper(1),243,360.0,29.97,1.835,www.youtube.com/watch?v=OdJuIwj6iYY,newspaper,0.0796858668327331,480.0,
salad,salad,0.0,11,39,0,41,SALAD,303,360.0,29.97,1.368,www.youtube.com/watch?v=BBCixbI_6C4,salad,0.0778593719005584,540.0,
sorry,sorry,0.0,11,39,0,57,SORRY,89,360.0,29.97,1.902,www.youtube.com/watch?v=BL90-ejIQ9Y,sorry,0.110510647296905,480.0,
